Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-2.5,-0.3888859045713741,-4.588676526890338,-0.00198919907872217
-2.4996875,-0.3879408001101843,-4.585847871916096,-0.001989199078722162
-2.499375,-0.3879408001101843,-4.581133446959037,-0.001979748034110272
-2.4990625,-0.3879408001101843,-4.5783047919848,-0.001979748034110272
-2.49875,-0.3888859045713733,-4.575476137010559,-0.001979748034110272
-2.4984375,-0.3879408001101843,-4.571704597044912,-0.001979748034110272
-2.498125,-0.3879408001101843,-4.56793305707926,-0.001970296989498374
-2.4978125,-0.3879408001101843,-4.566047287096437,-0.001970296989498374
-2.4975,-0.3869956956489944,-4.562275747130785,-0.001960845944886476
-2.4971875,-0.3879408001101843,-4.563218632122198,-0.001960845944886476
-2.496875,-0.3879408001101843,-4.558504207165139,-0.001970296989498365
-2.4965625,-0.3869956956489944,-4.554732667199485,-0.001951394900274577
-2.49625,-0.3860505911878046,-4.552846897216659,-0.001951394900274577
-2.4959375,-0.3869956956489944,-4.550961127233834,-0.001941943855662679
-2.495625,-0.3860505911878046,-4.548132472259596,-0.001941943855662679
-2.4953125,-0.3860505911878038,-4.546246702276766,-0.001941943855662661
-2.495,-0.3851054867266148,-4.540589392328295,-0.001923041766438882
-2.4946875,-0.3860505911878046,-4.537760737354057,-0.001923041766438882
-2.494375,-0.3841603822654258,-4.534932082379818,-0.001923041766438882
-2.4940625,-0.3851054867266148,-4.533046312396994,-0.001923041766438882
-2.49375,-0.3841603822654249,-4.528331887439931,-0.001913590721826984
-2.4934375,-0.3841603822654249,-4.525503232465696,-0.001923041766438873
-2.493125,-0.3832152778042351,-4.521731692500043,-0.001923041766438882
-2.4928125,-0.3832152778042351,-4.517960152534393,-0.001923041766438882
-2.4925,-0.3813250688818572,-4.515131497560157,-0.001941943855662661
-2.4921875,-0.3813250688818555,-4.512302842585917,-0.001941943855662679
-2.491875,-0.3813250688818546,-4.510417072603088,-0.001941943855662687
-2.4915625,-0.3803799644206656,-4.506645532637441,-0.001951394900274577
-2.49125,-0.3794348599594758,-4.503816877663203,-0.001951394900274577
-2.4909375,-0.3794348599594758,-4.50004533769755,-0.001951394900274586
-2.490625,-0.3794348599594758,-4.497216682723315,-0.001960845944886476
-2.4903125,-0.3794348599594758,-4.495330912740489,-0.001951394900274577
-2.49,-0.3794348599594758,-4.492502257766255,-0.001951394900274577
-2.4896875,-0.378489755498286,-4.488730717800602,-0.001941943855662679
-2.489375,-0.378489755498286,-4.484959177834951,-0.001941943855662679
-2.4890625,-0.3775446510370969,-4.482130522860715,-0.001941943855662679
-2.48875,-0.3775446510370961,-4.479301867886475,-0.001941943855662679
-2.4884375,-0.3775446510370961,-4.475530327920825,-0.001941943855662679
-2.488125,-0.3775446510370961,-4.472701672946587,-0.00193249281105078
-2.4878125,-0.3775446510370961,-4.468930132980937,-0.001923041766438882
-2.4875,-0.378489755498286,-4.467044362998106,-0.001923041766438865
-2.4871875,-0.378489755498286,-4.461387053049635,-0.001904139677215085
-2.486875,-0.3775446510370961,-4.45950128306681,-0.001904139677215085
-2.4865625,-0.3775446510370961,-4.456672628092571,-0.001913590721826984
-2.48625,-0.3775446510370961,-4.454786858109747,-0.001913590721826984
-2.4859375,-0.3775446510370961,-4.451015318144097,-0.001904139677215085
-2.485625,-0.3775446510370961,-4.448186663169862,-0.001904139677215085
-2.4853125,-0.3765995465759063,-4.445358008195621,-0.001894688632603187
-2.485,-0.3765995465759063,-4.44158646822997,-0.001894688632603187
-2.4846875,-0.3756544421147173,-4.437814928264324,-0.001885237587991297
-2.484375,-0.3747093376535266,-4.434986273290082,-0.001885237587991289
-2.4840625,-0.3737642331923368,-4.434043388298665,-0.00187578654337939
-2.48375,-0.3737642331923368,-4.429328963341606,-0.00187578654337939
-2.4834375,-0.3747093376535266,-4.425557423375956,-0.00187578654337939
-2.483125,-0.3737642331923359,-4.423671653393127,-0.001866335498767492
-2.4828125,-0.3728191287311469,-4.418957228436068,-0.001866335498767492
-2.4825,-0.3737642331923368,-4.416128573461831,-0.001856884454155593
-2.4821875,-0.3728191287311478,-4.412357033496183,-0.001856884454155593
-2.481875,-0.3728191287311469,-4.410471263513355,-0.001847433409543695
-2.4815625,-0.3718740242699571,-4.406699723547704,-0.001837982364931797
-2.48125,-0.3718740242699571,-4.403871068573469,-0.001847433409543686
-2.4809375,-0.3718740242699571,-4.400099528607815,-0.001847433409543695
-2.480625,-0.3709289198087672,-4.397270873633578,-0.001837982364931797
-2.4803125,-0.3709289198087672,-4.395385103650753,-0.001847433409543695
-2.48,-0.3709289198087672,-4.39067067869369,-0.001847433409543695
-2.4796875,-0.3699838153475774,-4.38784202371945,-0.001847433409543695
-2.479375,-0.3699838153475774,-4.385956253736627,-0.001847433409543695
-2.4790625,-0.3699838153475774,-4.382184713770976,-0.001837982364931797
-2.47875,-0.3690387108863867,-4.380298943788147,-0.001847433409543695
-2.4784375,-0.3680936064251977,-4.3765274038225,-0.001847433409543695
-2.478125,-0.3680936064251977,-4.374641633839675,-0.001847433409543695
-2.4778125,-0.3671485019640087,-4.37181297886544,-0.001837982364931805
-2.4775,-0.3671485019640079,-4.368984323891199,-0.001837982364931797
-2.4771875,-0.3680936064251977,-4.364269898934136,-0.001828531320319898
-2.476875,-0.3671485019640087,-4.362384128951313,-0.001828531320319898
-2.4765625,-0.3680936064251977,-4.357669703994248,-0.001828531320319898
-2.47625,-0.3671485019640087,-4.354841049020007,-0.00182853132031989
-2.4759375,-0.3680936064251977,-4.351069509054359,-0.001819080275708
-2.475625,-0.3680936064251977,-4.347297969088709,-0.001819080275708
-2.4753125,-0.3690387108863876,-4.343526429123056,-0.001819080275707991
-2.475,-0.3690387108863876,-4.340697774148821,-0.001809629231096102
-2.4746875,-0.3690387108863876,-4.335983349191758,-0.001819080275708
-2.474375,-0.3690387108863876,-4.332211809226111,-0.00180962923109611
-2.4740625,-0.3690387108863876,-4.32938315425187,-0.001809629231096102
-2.47375,-0.3690387108863876,-4.326554499277631,-0.001800178186484203
-2.4734375,-0.3690387108863876,-4.321840074320574,-0.001800178186484203
-2.473125,-0.3680936064251977,-4.319954304337744,-0.001800178186484203
-2.4728125,-0.3680936064251977,-4.318068534354918,-0.001809629231096102
-2.4725,-0.3671485019640079,-4.31523987938068,-0.001800178186484203
-2.4721875,-0.3671485019640079,-4.31146833941503,-0.001790727141872305
-2.471875,-0.3671485019640079,-4.307696799449377,-0.001790727141872305
-2.4715625,-0.3671485019640079,-4.304868144475142,-0.001790727141872305
-2.47125,-0.3671485019640079,-4.302039489500904,-0.001771825052648508
-2.4709375,-0.3662033975028172,-4.299210834526662,-0.001771825052648508
-2.470625,-0.3652582930416282,-4.295439294561016,-0.001771825052648508
-2.4703125,-0.3652582930416282,-4.292610639586778,-0.00176237400803661
-2.47,-0.3643131885804392,-4.289781984612542,-0.00176237400803661
-2.4696875,-0.3652582930416282,-4.287896214629715,-0.001752922963424711
-2.469375,-0.3643131885804384,-4.285067559655477,-0.001752922963424711
-2.4690625,-0.3643131885804384,-4.28129601968983,-0.001743471918812822
-2.46875,-0.3643131885804384,-4.278467364715588,-0.001743471918812813
-2.4684375,-0.3633680841192485,-4.274695824749936,-0.001743471918812813
-2.468125,-0.3633680841192485,-4.272810054767113,-0.001743471918812813
-2.4678125,-0.3633680841192485,-4.269038514801462,-0.001752922963424711
-2.4675,-0.3633680841192477,-4.266209859827222,-0.001752922963424711
-2.4671875,-0.3624229796580587,-4.263381204852987,-0.001752922963424711
-2.466875,-0.3624229796580587,-4.260552549878749,-0.001752922963424711
-2.4665625,-0.3624229796580587,-4.256781009913102,-0.001752922963424711
-2.46625,-0.3614778751968689,-4.254895239930273,-0.001743471918812813
-2.4659375,-0.3614778751968689,-4.252066584956036,-0.001743471918812813
-2.465625,-0.3605327707356799,-4.247352159998977,-0.001734020874200923
-2.4653125,-0.360532770735679,-4.244523505024734,-0.001734020874200915
-2.465,-0.360532770735679,-4.241694850050497,-0.001724569829589016
-2.4646875,-0.360532770735679,-4.238866195076259,-0.001724569829589016
-2.464375,-0.360532770735679,-4.235094655110609,-0.001715118784977118
-2.4640625,-0.3605327707356782,-4.231323115144956,-0.001715118784977118
-2.46375,-0.3595876662744892,-4.22849446017072,-0.001715118784977118
-2.4634375,-0.360532770735679,-4.224722920205069,-0.001696216695753321
-2.463125,-0.3586425618133002,-4.222837150222242,-0.00170566774036522
-2.4628125,-0.3595876662744892,-4.220008495248006,-0.00170566774036522
-2.4625,-0.3595876662744892,-4.216236955282356,-0.001696216695753321
-2.4621875,-0.3605327707356782,-4.213408300308121,-0.001696216695753321
-2.461875,-0.3595876662744892,-4.209636760342468,-0.001686765651141423
-2.4615625,-0.3586425618132994,-4.20680810536823,-0.001686765651141423
-2.46125,-0.3576974573521104,-4.203979450393994,-0.001686765651141423
-2.4609375,-0.3576974573521096,-4.200207910428341,-0.001686765651141423
-2.460625,-0.3567523528909197,-4.197379255454102,-0.001686765651141414
-2.4603125,-0.3567523528909197,-4.195493485471278,-0.001677314606529525
-2.46,-0.3558072484297299,-4.191721945505628,-0.001677314606529525
-2.4596875,-0.3558072484297299,-4.187950405539976,-0.001667863561917635
-2.459375,-0.3558072484297299,-4.186064635557153,-0.001677314606529525
-2.4590625,-0.3558072484297299,-4.183235980582914,-0.001677314606529525
-2.45875,-0.3548621439685409,-4.179464440617267,-0.001667863561917635
-2.4584375,-0.35486214396854,-4.177578670634439,-0.001658412517305728
-2.458125,-0.3539170395073502,-4.173807130668789,-0.00164896147269383
-2.4578125,-0.3520268305849723,-4.170978475694553,-0.00164896147269383
-2.4575,-0.3529719350461604,-4.168149820720313,-0.001639510428081931
-2.4571875,-0.3529719350461604,-4.165321165746075,-0.00164896147269383
-2.456875,-0.3529719350461604,-4.161549625780425,-0.00164896147269383
-2.4565625,-0.3529719350461604,-4.157778085814774,-0.001639510428081931
-2.45625,-0.3520268305849697,-4.154949430840533,-0.001648961472693821
-2.4559375,-0.3510817261237807,-4.152120775866298,-0.001639510428081931
-2.455625,-0.3510817261237807,-4.147406350909235,-0.001639510428081931
-2.4553125,-0.3501366216625909,-4.144577695934995,-0.001639510428081931
-2.455,-0.3501366216625909,-4.14174904096076,-0.001639510428081931
-2.4546875,-0.349191517201401,-4.139863270977934,-0.00164896147269383
-2.454375,-0.349191517201401,-4.136091731012288,-0.00163951042808194
-2.4540625,-0.3482464127402112,-4.133263076038046,-0.001630059383470033
-2.45375,-0.3482464127402112,-4.129491536072396,-0.001630059383470033
-2.4534375,-0.3482464127402112,-4.127605766089572,-0.001630059383470033
-2.453125,-0.3473013082790213,-4.12383422612392,-0.001620608338858134
-2.4528125,-0.3463562038178323,-4.119119801166854,-0.001620608338858126
-2.4525,-0.3473013082790213,-4.116291146192619,-0.001611157294246236
-2.4521875,-0.3473013082790213,-4.113462491218381,-0.001611157294246236
-2.451875,-0.3473013082790213,-4.111576721235551,-0.001601706249634338
-2.4515625,-0.3473013082790213,-4.10591941128708,-0.001601706249634338
-2.45125,-0.3473013082790213,-4.10591941128708,-0.001592255205022439
-2.4509375,-0.3482464127402103,-4.101204986330021,-0.00158280416041055
-2.450625,-0.3473013082790213,-4.097433446364366,-0.001592255205022439
-2.4503125,-0.3482464127402112,-4.093661906398716,-0.001592255205022439
-2.45,-0.3473013082790222,-4.090833251424481,-0.001592255205022439
-2.4496875,-0.3473013082790213,-4.087061711458828,-0.001582804160410541
-2.449375,-0.3463562038178315,-4.083290171493178,-0.001582804160410541
-2.4490625,-0.3463562038178315,-4.08046151651894,-0.001582804160410541
-2.44875,-0.3454110993566417,-4.077632861544702,-0.001563902071186744
-2.4484375,-0.344465994895451,-4.074804206570461,-0.001563902071186744
-2.448125,-0.343520890434262,-4.071032666604814,-0.001563902071186744
-2.4478125,-0.3454110993566417,-4.069146896621988,-0.001554451026574846
-2.4475,-0.343520890434262,-4.065375356656335,-0.001544999981962939
-2.4471875,-0.343520890434262,-4.0625467016821,-0.001535548937351049
-2.446875,-0.343520890434262,-4.05877516171645,-0.001535548937351049
