Time (s) ,Force (N)
   2.153 ,  0.33858
   2.154 ,  0.33731
   2.155 ,  0.33698
   2.156 ,  0.33627
   2.157 ,  0.33585
   2.158 ,  0.3352
   2.159 ,  0.33487
   2.16  ,  0.33453
   2.161 ,  0.33482
   2.162 ,  0.3344
   2.163 ,  0.33395
   2.164 ,  0.33363
   2.165 ,  0.33223
   2.166 ,  0.33186
   2.167 ,  0.33114
   2.168 ,  0.33058
   2.169 ,  0.32983
   2.17  ,  0.33035
   2.171 ,  0.32979
   2.172 ,  0.32958
   2.173 ,  0.33003
   2.174 ,  0.32903
   2.175 ,  0.3284
   2.176 ,  0.32764
   2.177 ,  0.32787
   2.178 ,  0.32743
   2.179 ,  0.32655
   2.18  ,  0.32605
   2.181 ,  0.32499
   2.182 ,  0.32458
   2.183 ,  0.32488
   2.184 ,  0.32426
   2.185 ,  0.32447
   2.186 ,  0.32413
   2.187 ,  0.3243
   2.188 ,  0.32315
   2.189 ,  0.32268
   2.19  ,  0.32268
   2.191 ,  0.32223
   2.192 ,  0.32253
   2.193 ,  0.3219
   2.194 ,  0.32172
   2.195 ,  0.32124
   2.196 ,  0.32042
   2.197 ,  0.3201
   2.198 ,  0.31978
   2.199 ,  0.31955
   2.2   ,  0.3187
   2.201 ,  0.31762
   2.202 ,  0.31712
   2.203 ,  0.3161
   2.204 ,  0.31524
   2.205 ,  0.31459
   2.206 ,  0.31472
   2.207 ,  0.31425
   2.208 ,  0.31343
   2.209 ,  0.31266
   2.21  ,  0.31254
   2.211 ,  0.31242
   2.212 ,  0.31178
   2.213 ,  0.31141
   2.214 ,  0.31089
   2.215 ,  0.31077
   2.216 ,  0.30984
   2.217 ,  0.30897
   2.218 ,  0.30912
   2.219 ,  0.30875
   2.22  ,  0.30914
   2.221 ,  0.30939
   2.222 ,  0.30979
   2.223 ,  0.30899
   2.224 ,  0.3078
   2.225 ,  0.308
   2.226 ,  0.30763
   2.227 ,  0.30709
   2.228 ,  0.30645
   2.229 ,  0.30529
   2.23  ,  0.30537
   2.231 ,  0.3051
   2.232 ,  0.30512
   2.233 ,  0.30495
   2.234 ,  0.30498
   2.235 ,  0.30448
   2.236 ,  0.30363
   2.237 ,  0.3038
   2.238 ,  0.30331
   2.239 ,  0.30251
   2.24  ,  0.30203
   2.241 ,  0.30191
   2.242 ,  0.30218
   2.243 ,  0.30198
   2.244 ,  0.30178
   2.245 ,  0.30149
   2.246 ,  0.3012
   2.247 ,  0.30125
   2.248 ,  0.30033
   2.249 ,  0.29931
   2.25  ,  0.29894
   2.251 ,  0.29791
   2.252 ,  0.29726
   2.253 ,  0.2973
   2.254 ,  0.29746
   2.255 ,  0.29737
   2.256 ,  0.29705
   2.257 ,  0.29619
   2.258 ,  0.2956
   2.259 ,  0.29552
   2.26  ,  0.29469
   2.261 ,  0.29437
   2.262 ,  0.29403
   2.263 ,  0.29411
   2.264 ,  0.29287
   2.265 ,  0.29301
   2.266 ,  0.2935
   2.267 ,  0.29289
   2.268 ,  0.29235
   2.269 ,  0.29246
   2.27  ,  0.29273
   2.271 ,  0.29272
   2.272 ,  0.29191
   2.273 ,  0.29057
   2.274 ,  0.2901
   2.275 ,  0.28962
   2.276 ,  0.2895
   2.277 ,  0.28895
   2.278 ,  0.28843
   2.279 ,  0.28757
   2.28  ,  0.28749
   2.281 ,  0.28629
   2.282 ,  0.28624
   2.283 ,  0.28571
   2.284 ,  0.28507
   2.285 ,  0.28537
   2.286 ,  0.28473
   2.287 ,  0.28395
   2.288 ,  0.28293
   2.289 ,  0.28246
   2.29  ,  0.28224
   2.291 ,  0.28267
   2.292 ,  0.28235
   2.293 ,  0.2829
   2.294 ,  0.28214
   2.295 ,  0.28191
   2.296 ,  0.28201
   2.297 ,  0.28192
   2.298 ,  0.28086
   2.299 ,  0.28043
   2.3   ,  0.28076
   2.301 ,  0.28005
   2.302 ,  0.27999
   2.303 ,  0.27956
   2.304 ,  0.27967
   2.305 ,  0.27882
   2.306 ,  0.27915
   2.307 ,  0.279
   2.308 ,  0.27896
   2.309 ,  0.27863
   2.31  ,  0.27817
   2.311 ,  0.27761
   2.312 ,  0.27787
   2.313 ,  0.27779
   2.314 ,  0.27778
   2.315 ,  0.27721
   2.316 ,  0.27733
   2.317 ,  0.27752
   2.318 ,  0.27668
   2.319 ,  0.27589
   2.32  ,  0.27554
   2.321 ,  0.27511
   2.322 ,  0.27502
   2.323 ,  0.27544
   2.324 ,  0.27498
   2.325 ,  0.2743
   2.326 ,  0.27293
   2.327 ,  0.27228
   2.328 ,  0.27149
   2.329 ,  0.27126
   2.33  ,  0.2704
   2.331 ,  0.27003
   2.332 ,  0.2693
   2.333 ,  0.269
   2.334 ,  0.26849
   2.335 ,  0.26801
   2.336 ,  0.26739
   2.337 ,  0.26717
   2.338 ,  0.2669
   2.339 ,  0.2669
   2.34  ,  0.26684
   2.341 ,  0.26678
   2.342 ,  0.26567
   2.343 ,  0.26486
   2.344 ,  0.26458
   2.345 ,  0.2641
   2.346 ,  0.26415
   2.347 ,  0.26359
   2.348 ,  0.26307
   2.349 ,  0.26297
   2.35  ,  0.26259
   2.351 ,  0.26207
   2.352 ,  0.26191
   2.353 ,  0.2617
   2.354 ,  0.26214
   2.355 ,  0.26253
   2.356 ,  0.26211
   2.357 ,  0.26141
   2.358 ,  0.26009
   2.359 ,  0.25907
   2.36  ,  0.25904
   2.361 ,  0.25944
   2.362 ,  0.25964
   2.363 ,  0.2596
   2.364 ,  0.2594
   2.365 ,  0.25949
   2.366 ,  0.25942
   2.367 ,  0.2584
   2.368 ,  0.25855
   2.369 ,  0.25855
   2.37  ,  0.25787
   2.371 ,  0.25756
   2.372 ,  0.25695
   2.373 ,  0.25659
   2.374 ,  0.25537
   2.375 ,  0.25521
   2.376 ,  0.25543
   2.377 ,  0.25477
   2.378 ,  0.25453
   2.379 ,  0.25411
   2.38  ,  0.25369
   2.381 ,  0.25265
   2.382 ,  0.25225
   2.383 ,  0.25182
   2.384 ,  0.25099
   2.385 ,  0.25135
   2.386 ,  0.25019
   2.387 ,  0.24985
   2.388 ,  0.24996
   2.389 ,  0.24995
   2.39  ,  0.24958
   2.391 ,  0.24861
   2.392 ,  0.24821
   2.393 ,  0.24755
   2.394 ,  0.24745
   2.395 ,  0.24735
   2.396 ,  0.24731
   2.397 ,  0.24661
   2.398 ,  0.24643
   2.399 ,  0.24617
   2.4   ,  0.24508
   2.401 ,  0.24452
   2.402 ,  0.24418
   2.403 ,  0.2437
   2.404 ,  0.2441
   2.405 ,  0.24378
   2.406 ,  0.24346
   2.407 ,  0.24285
   2.408 ,  0.24257
   2.409 ,  0.24294
   2.41  ,  0.24331
   2.411 ,  0.24273
   2.412 ,  0.24173
   2.413 ,  0.24175
   2.414 ,  0.24062
   2.415 ,  0.2408
   2.416 ,  0.24067
   2.417 ,  0.24074
   2.418 ,  0.24096
   2.419 ,  0.24017
   2.42  ,  0.2405
   2.421 ,  0.23999
   2.422 ,  0.23912
   2.423 ,  0.2389
   2.424 ,  0.2383
   2.425 ,  0.23816
   2.426 ,  0.23762
   2.427 ,  0.23663
   2.428 ,  0.23649
   2.429 ,  0.23671
   2.43  ,  0.23693
   2.431 ,  0.23619
   2.432 ,  0.23685
   2.433 ,  0.23607
   2.434 ,  0.23528
   2.435 ,  0.2353
   2.436 ,  0.23449
   2.437 ,  0.2351
   2.438 ,  0.23468
   2.439 ,  0.23458
   2.44  ,  0.23409
   2.441 ,  0.23328
   2.442 ,  0.23348
   2.443 ,  0.23316
   2.444 ,  0.23313
   2.445 ,  0.23347
   2.446 ,  0.23272
   2.447 ,  0.2322
   2.448 ,  0.23227
   2.449 ,  0.23231
   2.45  ,  0.23186
   2.451 ,  0.23214
   2.452 ,  0.23186
   2.453 ,  0.23136
   2.454 ,  0.23138
   2.455 ,  0.23002
   2.456 ,  0.23002
   2.457 ,  0.22991
   2.458 ,  0.22985
   2.459 ,  0.22943
   2.46  ,  0.22925
   2.461 ,  0.22896
   2.462 ,  0.22828
   2.463 ,  0.22729
   2.464 ,  0.22703
   2.465 ,  0.22708
   2.466 ,  0.22664
   2.467 ,  0.22616
   2.468 ,  0.22582
   2.469 ,  0.22489
   2.47  ,  0.22447
   2.471 ,  0.22405
   2.472 ,  0.22344
   2.473 ,  0.22398
   2.474 ,  0.22371
   2.475 ,  0.22292
   2.476 ,  0.22246
   2.477 ,  0.22272
   2.478 ,  0.22187
   2.479 ,  0.22155
   2.48  ,  0.22106
   2.481 ,  0.2207
   2.482 ,  0.22007
   2.483 ,  0.21984
   2.484 ,  0.21934
   2.485 ,  0.21904
   2.486 ,  0.21864
   2.487 ,  0.21846
   2.488 ,  0.21841
   2.489 ,  0.21817
   2.49  ,  0.21813
   2.491 ,  0.21761
   2.492 ,  0.21724
   2.493 ,  0.21664
   2.494 ,  0.21638
   2.495 ,  0.21614
   2.496 ,  0.2164
   2.497 ,  0.21606
   2.498 ,  0.21604
   2.499 ,  0.21643
   2.5   ,  0.21677
   2.501 ,  0.21603
   2.502 ,  0.21547
   2.503 ,  0.21602
   2.504 ,  0.21556
   2.505 ,  0.21548
   2.506 ,  0.21482
   2.507 ,  0.21457
   2.508 ,  0.21401
   2.509 ,  0.21379
   2.51  ,  0.21357
   2.511 ,  0.21368
   2.512 ,  0.21427
   2.513 ,  0.21344
   2.514 ,  0.21245
   2.515 ,  0.21237
   2.516 ,  0.21211
   2.517 ,  0.2118
   2.518 ,  0.21177
   2.519 ,  0.21153
   2.52  ,  0.21125
   2.521 ,  0.2105
   2.522 ,  0.2105
   2.523 ,  0.21022
   2.524 ,  0.21063
   2.525 ,  0.21025
   2.526 ,  0.21004
   2.527 ,  0.20989
   2.528 ,  0.20907
   2.529 ,  0.2091
   2.53  ,  0.20895
   2.531 ,  0.20932
   2.532 ,  0.20942
   2.533 ,  0.20855
   2.534 ,  0.20872
   2.535 ,  0.20886
   2.536 ,  0.20807
   2.537 ,  0.20793
   2.538 ,  0.20748
   2.539 ,  0.20663
   2.54  ,  0.20673
   2.541 ,  0.20591
   2.542 ,  0.20551
   2.543 ,  0.20563
   2.544 ,  0.20528
   2.545 ,  0.20503
   2.546 ,  0.20478
   2.547 ,  0.20407
   2.548 ,  0.2032
   2.549 ,  0.2032
   2.55  ,  0.20324
   2.551 ,  0.20291
   2.552 ,  0.20218
   2.553 ,  0.20113
   2.554 ,  0.20107
   2.555 ,  0.20131
   2.556 ,  0.20135
   2.557 ,  0.20167
   2.558 ,  0.20062
   2.559 ,  0.20086
   2.56  ,  0.20043
   2.561 ,  0.19962
   2.562 ,  0.20039
   2.563 ,  0.20042
   2.564 ,  0.20055
   2.565 ,  0.20013
   2.566 ,  0.19981
   2.567 ,  0.19923
   2.568 ,  0.19885
   2.569 ,  0.19854
   2.57  ,  0.19804
   2.571 ,  0.1982
   2.572 ,  0.19844
   2.573 ,  0.1976
   2.574 ,  0.19771
   2.575 ,  0.19745
   2.576 ,  0.19765
   2.577 ,  0.19687
   2.578 ,  0.1967
   2.579 ,  0.19648
   2.58  ,  0.19617
   2.581 ,  0.19508
   2.582 ,  0.19434
   2.583 ,  0.1942
   2.584 ,  0.19442
   2.585 ,  0.19351
   2.586 ,  0.19348
   2.587 ,  0.19335
   2.588 ,  0.19344
   2.589 ,  0.1925
   2.59  ,  0.19142
   2.591 ,  0.1919
   2.592 ,  0.19113
   2.593 ,  0.19042
   2.594 ,  0.19056
   2.595 ,  0.19043
   2.596 ,  0.18994
   2.597 ,  0.18975
   2.598 ,  0.18874
   2.599 ,  0.18895
   2.6   ,  0.18858
   2.601 ,  0.1888
   2.602 ,  0.18832
   2.603 ,  0.18867
   2.604 ,  0.18809
   2.605 ,  0.18856
   2.606 ,  0.18866
   2.607 ,  0.18944
   2.608 ,  0.18947
   2.609 ,  0.18851
   2.61  ,  0.18875
   2.611 ,  0.18846
   2.612 ,  0.18755
   2.613 ,  0.18763
   2.614 ,  0.1874
   2.615 ,  0.1877
   2.616 ,  0.18792
   2.617 ,  0.18794
   2.618 ,  0.18852
   2.619 ,  0.18828
   2.62  ,  0.18768
   2.621 ,  0.18724
   2.622 ,  0.18675
   2.623 ,  0.18633
   2.624 ,  0.18539
   2.625 ,  0.18432
   2.626 ,  0.18454
   2.627 ,  0.18449
   2.628 ,  0.18378
   2.629 ,  0.18418
   2.63  ,  0.18382
   2.631 ,  0.18374
   2.632 ,  0.18334
   2.633 ,  0.18299
   2.634 ,  0.18219
   2.635 ,  0.18144
   2.636 ,  0.18121
   2.637 ,  0.18034
   2.638 ,  0.18061
   2.639 ,  0.18015
   2.64  ,  0.18037
   2.641 ,  0.18036
   2.642 ,  0.18117
   2.643 ,  0.18143
   2.644 ,  0.18052
   2.645 ,  0.18066
   2.646 ,  0.18132
   2.647 ,  0.18059
   2.648 ,  0.18037
   2.649 ,  0.17998
   2.65  ,  0.1808
   2.651 ,  0.18061
   2.652 ,  0.18132
   2.653 ,  0.18162
   2.654 ,  0.18116
   2.655 ,  0.18139
   2.656 ,  0.18068
   2.657 ,  0.1808
   2.658 ,  0.18064
   2.659 ,  0.1802
   2.66  ,  0.1799
   2.661 ,  0.17979
   2.662 ,  0.17957
   2.663 ,  0.17952
   2.664 ,  0.17824
   2.665 ,  0.1783
   2.666 ,  0.17828
   2.667 ,  0.1777
   2.668 ,  0.17702
   2.669 ,  0.17683
   2.67  ,  0.17575
   2.671 ,  0.17502
   2.672 ,  0.17473
   2.673 ,  0.17473
   2.674 ,  0.17535
   2.675 ,  0.17539
   2.676 ,  0.17545
   2.677 ,  0.17531
   2.678 ,  0.17498
   2.679 ,  0.17486
   2.68  ,  0.17458
   2.681 ,  0.17335
   2.682 ,  0.17374
   2.683 ,  0.17382
   2.684 ,  0.17386
   2.685 ,  0.17376
   2.686 ,  0.17348
   2.687 ,  0.17364
   2.688 ,  0.17345
   2.689 ,  0.17371
   2.69  ,  0.17377
   2.691 ,  0.17326
   2.692 ,  0.17225
   2.693 ,  0.17143
   2.694 ,  0.17029
   2.695 ,  0.16974
   2.696 ,  0.16961
   2.697 ,  0.16917
   2.698 ,  0.16978
   2.699 ,  0.16959
   2.7   ,  0.16881
   2.701 ,  0.16875
   2.702 ,  0.16895
   2.703 ,  0.1694
   2.704 ,  0.16881
   2.705 ,  0.16843
   2.706 ,  0.16875
   2.707 ,  0.16787
   2.708 ,  0.16793
   2.709 ,  0.16791
   2.71  ,  0.16847
   2.711 ,  0.16916
   2.712 ,  0.16889
   2.713 ,  0.16864
   2.714 ,  0.16821
   2.715 ,  0.16775
   2.716 ,  0.16701
   2.717 ,  0.16728
   2.718 ,  0.16742
   2.719 ,  0.16662
   2.72  ,  0.16574
   2.721 ,  0.16529
   2.722 ,  0.16594
   2.723 ,  0.16583
   2.724 ,  0.16564
   2.725 ,  0.16544
   2.726 ,  0.16525
   2.727 ,  0.16497
   2.728 ,  0.16412
   2.729 ,  0.1638
   2.73  ,  0.16462
   2.731 ,  0.16491
   2.732 ,  0.1642
   2.733 ,  0.16448
   2.734 ,  0.16451
   2.735 ,  0.16409
   2.736 ,  0.16358
   2.737 ,  0.16398
   2.738 ,  0.16388
   2.739 ,  0.16413
   2.74  ,  0.16385
   2.741 ,  0.16315
   2.742 ,  0.16324
   2.743 ,  0.16393
   2.744 ,  0.16349
   2.745 ,  0.16335
   2.746 ,  0.16328
   2.747 ,  0.16266
   2.748 ,  0.16208
   2.749 ,  0.16096
   2.75  ,  0.16104
   2.751 ,  0.16057
   2.752 ,  0.16027
   2.753 ,  0.16074
   2.754 ,  0.16135
   2.755 ,  0.16128
   2.756 ,  0.16101
   2.757 ,  0.16073
   2.758 ,  0.16067
   2.759 ,  0.16079
   2.76  ,  0.16017
   2.761 ,  0.15926
   2.762 ,  0.15859
   2.763 ,  0.15805
   2.764 ,  0.15765
   2.765 ,  0.1572
   2.766 ,  0.15692
   2.767 ,  0.15766
   2.768 ,  0.15707
   2.769 ,  0.15725
   2.77  ,  0.15671
   2.771 ,  0.15658
   2.772 ,  0.15627
   2.773 ,  0.15581
   2.774 ,  0.15542
   2.775 ,  0.15446
   2.776 ,  0.15423
   2.777 ,  0.15371
   2.778 ,  0.15308
   2.779 ,  0.15328
   2.78  ,  0.1536
   2.781 ,  0.15392
   2.782 ,  0.15417
   2.783 ,  0.15377
   2.784 ,  0.15356
   2.785 ,  0.15305
   2.786 ,  0.15328
   2.787 ,  0.15322
   2.788 ,  0.15342
   2.789 ,  0.15268
   2.79  ,  0.15226
   2.791 ,  0.15217
   2.792 ,  0.15239
   2.793 ,  0.15273
   2.794 ,  0.15262
   2.795 ,  0.15236
   2.796 ,  0.15243
   2.797 ,  0.15221
   2.798 ,  0.15163
   2.799 ,  0.15144
   2.8   ,  0.15063
   2.801 ,  0.15114
   2.802 ,  0.1513
   2.803 ,  0.15069
   2.804 ,  0.15053
   2.805 ,  0.14954
   2.806 ,  0.14889
   2.807 ,  0.14922
   2.808 ,  0.14858
   2.809 ,  0.14766
   2.81  ,  0.14776
   2.811 ,  0.14705
   2.812 ,  0.14687
   2.813 ,  0.14744
   2.814 ,  0.14779
   2.815 ,  0.14739
   2.816 ,  0.14679
   2.817 ,  0.14594
   2.818 ,  0.14623
   2.819 ,  0.14625
   2.82  ,  0.14623
   2.821 ,  0.14642
   2.822 ,  0.14592
   2.823 ,  0.14607
   2.824 ,  0.1463
   2.825 ,  0.14593
   2.826 ,  0.1458
   2.827 ,  0.14576
   2.828 ,  0.14564
   2.829 ,  0.14584
   2.83  ,  0.14552
   2.831 ,  0.14462
   2.832 ,  0.14463
   2.833 ,  0.14457
   2.834 ,  0.14509
   2.835 ,  0.14591
   2.836 ,  0.1457
   2.837 ,  0.14533
   2.838 ,  0.14467
   2.839 ,  0.14453
   2.84  ,  0.14497
   2.841 ,  0.14486
   2.842 ,  0.14498
   2.843 ,  0.14493
   2.844 ,  0.14564
   2.845 ,  0.14536
   2.846 ,  0.14496
   2.847 ,  0.14477
   2.848 ,  0.14482
   2.849 ,  0.14479
   2.85  ,  0.14401
   2.851 ,  0.14404
   2.852 ,  0.14405
   2.853 ,  0.14284
   2.854 ,  0.1423
   2.855 ,  0.14149
   2.856 ,  0.14159
   2.857 ,  0.1413
   2.858 ,  0.14072
   2.859 ,  0.14089
   2.86  ,  0.14045
   2.861 ,  0.1399
   2.862 ,  0.13932
   2.863 ,  0.13996
   2.864 ,  0.14008
   2.865 ,  0.14041
   2.866 ,  0.13962
   2.867 ,  0.14001
   2.868 ,  0.13995
   2.869 ,  0.13946
   2.87  ,  0.13899
   2.871 ,  0.13917
   2.872 ,  0.13924
   2.873 ,  0.13928
   2.874 ,  0.13889
   2.875 ,  0.13913
   2.876 ,  0.13872
   2.877 ,  0.13809
   2.878 ,  0.13843
   2.879 ,  0.13884
   2.88  ,  0.13824
   2.881 ,  0.13799
   2.882 ,  0.13693
   2.883 ,  0.13625
   2.884 ,  0.13631
   2.885 ,  0.1355
   2.886 ,  0.13502
   2.887 ,  0.13459
   2.888 ,  0.13409
   2.889 ,  0.13452
   2.89  ,  0.13503
   2.891 ,  0.13548
   2.892 ,  0.13533
   2.893 ,  0.13503
   2.894 ,  0.13483
   2.895 ,  0.135
   2.896 ,  0.13454
   2.897 ,  0.13377
   2.898 ,  0.13417
   2.899 ,  0.13332
   2.9   ,  0.13312
   2.901 ,  0.13367
   2.902 ,  0.13313
   2.903 ,  0.13257
   2.904 ,  0.13311
   2.905 ,  0.13377
   2.906 ,  0.1336
   2.907 ,  0.13277
   2.908 ,  0.1323
   2.909 ,  0.13225
   2.91  ,  0.1324
   2.911 ,  0.13187
   2.912 ,  0.1321
   2.913 ,  0.1316
   2.914 ,  0.13098
   2.915 ,  0.13103
   2.916 ,  0.13084
   2.917 ,  0.13171
   2.918 ,  0.13207
   2.919 ,  0.13169
   2.92  ,  0.13177
   2.921 ,  0.1318
   2.922 ,  0.13155
   2.923 ,  0.13059
   2.924 ,  0.13094
   2.925 ,  0.13119
   2.926 ,  0.13114
   2.927 ,  0.13072
   2.928 ,  0.13072
   2.929 ,  0.13089
   2.93  ,  0.13082
   2.931 ,  0.13111
   2.932 ,  0.13165
   2.933 ,  0.13188
   2.934 ,  0.13155
   2.935 ,  0.1313
   2.936 ,  0.13113
   2.937 ,  0.13086
   2.938 ,  0.13071
   2.939 ,  0.13062
   2.94  ,  0.13023
   2.941 ,  0.13011
   2.942 ,  0.13003
   2.943 ,  0.13022
   2.944 ,  0.12969
   2.945 ,  0.12913
   2.946 ,  0.12906
   2.947 ,  0.12887
   2.948 ,  0.12845
   2.949 ,  0.12813
   2.95  ,  0.12748
   2.951 ,  0.12689
   2.952 ,  0.1272
   2.953 ,  0.12646
   2.954 ,  0.12669
   2.955 ,  0.12636
   2.956 ,  0.12609
   2.957 ,  0.1264
   2.958 ,  0.1258
   2.959 ,  0.12575
   2.96  ,  0.12592
   2.961 ,  0.12478
   2.962 ,  0.12526
   2.963 ,  0.125
   2.964 ,  0.12455
   2.965 ,  0.12456
   2.966 ,  0.12424
   2.967 ,  0.12418
   2.968 ,  0.12453
   2.969 ,  0.12391
   2.97  ,  0.12301
   2.971 ,  0.12282
   2.972 ,  0.12221
   2.973 ,  0.12249
   2.974 ,  0.123
   2.975 ,  0.12267
   2.976 ,  0.12326
   2.977 ,  0.12323
   2.978 ,  0.12294
   2.979 ,  0.12296
   2.98  ,  0.12243
   2.981 ,  0.12243
   2.982 ,  0.12241
   2.983 ,  0.12205
   2.984 ,  0.122
   2.985 ,  0.12195
   2.986 ,  0.12125
   2.987 ,  0.12181
   2.988 ,  0.12233
   2.989 ,  0.1229
   2.99  ,  0.12331
   2.991 ,  0.12305
   2.992 ,  0.12257
   2.993 ,  0.12282
   2.994 ,  0.12266
   2.995 ,  0.12293
   2.996 ,  0.12195
   2.997 ,  0.12244
   2.998 ,  0.12174
   2.999 ,  0.12181
   3     ,  0.1214
   3.001 ,  0.1209
   3.002 ,  0.12083
   3.003 ,  0.12035
   3.004 ,  0.12094
   3.005 ,  0.12031
   3.006 ,  0.11953
   3.007 ,  0.11929
   3.008 ,  0.11908
   3.009 ,  0.1191
   3.01  ,  0.11918
   3.011 ,  0.11845
   3.012 ,  0.11838
   3.013 ,  0.11831
   3.014 ,  0.11853
   3.015 ,  0.11809
   3.016 ,  0.11884
   3.017 ,  0.11844
   3.018 ,  0.11852
   3.019 ,  0.11862
   3.02  ,  0.11836
   3.021 ,  0.11862
   3.022 ,  0.11831
   3.023 ,  0.11802
   3.024 ,  0.1187
   3.025 ,  0.1187
   3.026 ,  0.11883
   3.027 ,  0.11797
   3.028 ,  0.11706
   3.029 ,  0.11721
   3.03  ,  0.11635
   3.031 ,  0.11562
   3.032 ,  0.11604
   3.033 ,  0.1163
   3.034 ,  0.11633
   3.035 ,  0.1166
   3.036 ,  0.11619
   3.037 ,  0.1159
   3.038 ,  0.11583
   3.039 ,  0.11506
   3.04  ,  0.11437
   3.041 ,  0.11462
   3.042 ,  0.11397
   3.043 ,  0.11319
   3.044 ,  0.11254
   3.045 ,  0.11291
   3.046 ,  0.1128
   3.047 ,  0.11258
   3.048 ,  0.11313
   3.049 ,  0.11324
   3.05  ,  0.11239
   3.051 ,  0.11147
   3.052 ,  0.11087
   3.053 ,  0.11097
   3.054 ,  0.11096
   3.055 ,  0.1109
   3.056 ,  0.11106
   3.057 ,  0.11133
   3.058 ,  0.11121
   3.059 ,  0.11069
   3.06  ,  0.11044
   3.061 ,  0.11046
   3.062 ,  0.11019
   3.063 ,  0.11022
   3.064 ,  0.11077
   3.065 ,  0.11124
   3.066 ,  0.11094
   3.067 ,  0.11112
   3.068 ,  0.11136
   3.069 ,  0.11195
   3.07  ,  0.11161
   3.071 ,  0.11169
   3.072 ,  0.11202
   3.073 ,  0.11224
   3.074 ,  0.11262
   3.075 ,  0.11245
   3.076 ,  0.11206
   3.077 ,  0.11264
   3.078 ,  0.11305
   3.079 ,  0.11296
   3.08  ,  0.11308
   3.081 ,  0.11281
   3.082 ,  0.11225
   3.083 ,  0.11119
   3.084 ,  0.11081
   3.085 ,  0.1105
   3.086 ,  0.11003
   3.087 ,  0.10972
   3.088 ,  0.11013
   3.089 ,  0.10982
   3.09  ,  0.10863
   3.091 ,  0.10821
   3.092 ,  0.10825
   3.093 ,  0.10768
   3.094 ,  0.10804
   3.095 ,  0.10734
   3.096 ,  0.10739
   3.097 ,  0.10706
   3.098 ,  0.1072
   3.099 ,  0.10708
   3.1   ,  0.10704
   3.101 ,  0.10756
   3.102 ,  0.10758
   3.103 ,  0.10772
   3.104 ,  0.10816
   3.105 ,  0.10814
   3.106 ,  0.10784
   3.107 ,  0.10753
   3.108 ,  0.10809
   3.109 ,  0.10829
   3.11  ,  0.10807
   3.111 ,  0.10869
   3.112 ,  0.10862
   3.113 ,  0.1092
   3.114 ,  0.109
   3.115 ,  0.10861
   3.116 ,  0.10762
   3.117 ,  0.10717
   3.118 ,  0.10715
   3.119 ,  0.10636
   3.12  ,  0.10608
   3.121 ,  0.10586
   3.122 ,  0.10549
   3.123 ,  0.10475
   3.124 ,  0.10433
   3.125 ,  0.10409
   3.126 ,  0.10406
   3.127 ,  0.10346
   3.128 ,  0.1033
   3.129 ,  0.1032
   3.13  ,  0.10329
   3.131 ,  0.10249
   3.132 ,  0.10231
   3.133 ,  0.10296
   3.134 ,  0.10347
   3.135 ,  0.10316
   3.136 ,  0.10319
   3.137 ,  0.10317
   3.138 ,  0.10384
   3.139 ,  0.10404
   3.14  ,  0.10357
   3.141 ,  0.10383
   3.142 ,  0.10394
   3.143 ,  0.104
   3.144 ,  0.1034
   3.145 ,  0.10361
   3.146 ,  0.10271
   3.147 ,  0.10237
   3.148 ,  0.10226
   3.149 ,  0.10207
   3.15  ,  0.10179
   3.151 ,  0.10159
   3.152 ,  0.10168
   3.153 ,  0.10229
   3.154 ,  0.10263
   3.155 ,  0.10342
   3.156 ,  0.10267
   3.157 ,  0.10228
   3.158 ,  0.10292
   3.159 ,  0.10345
   3.16  ,  0.10356
   3.161 ,  0.10384
   3.162 ,  0.10389
   3.163 ,  0.10409
   3.164 ,  0.10415
   3.165 ,  0.10379
   3.166 ,  0.10353
   3.167 ,  0.10427
   3.168 ,  0.10373
   3.169 ,  0.10311
   3.17  ,  0.1023
   3.171 ,  0.10211
   3.172 ,  0.10147
   3.173 ,  0.10104
   3.174 ,  0.10073
   3.175 ,  0.1004
   3.176 ,  0.10033
   3.177 ,  0.09963
   3.178 ,  0.09874
   3.179 ,  0.09766
   3.18  ,  0.09787
   3.181 ,  0.09767
   3.182 ,  0.09774
   3.183 ,  0.0979
   3.184 ,  0.09773
   3.185 ,  0.0967
   3.186 ,  0.09714
   3.187 ,  0.09712
   3.188 ,  0.09693
   3.189 ,  0.09641
   3.19  ,  0.09641
   3.191 ,  0.09574
   3.192 ,  0.09622
   3.193 ,  0.09631
   3.194 ,  0.09535
   3.195 ,  0.09564
   3.196 ,  0.09591
   3.197 ,  0.09618
   3.198 ,  0.09592
   3.199 ,  0.09537
   3.2   ,  0.09499
   3.201 ,  0.09511
   3.202 ,  0.09457
   3.203 ,  0.09472
   3.204 ,  0.09411
   3.205 ,  0.09408
   3.206 ,  0.09496
   3.207 ,  0.09533
   3.208 ,  0.09519
   3.209 ,  0.09547
   3.21  ,  0.09518
   3.211 ,  0.09539
   3.212 ,  0.09572
   3.213 ,  0.09573
   3.214 ,  0.09626
   3.215 ,  0.09638
   3.216 ,  0.09655
   3.217 ,  0.09692
   3.218 ,  0.09676
   3.219 ,  0.09615
   3.22  ,  0.0963
   3.221 ,  0.09677
   3.222 ,  0.09655
   3.223 ,  0.09676
   3.224 ,  0.09603
   3.225 ,  0.09523
   3.226 ,  0.09475
   3.227 ,  0.09504
   3.228 ,  0.09542
